vessel_id,shape_class,rim_orient,rim_profile,base_type,additional_elem,height,opening_diam,base_diam,neck_diam,belly_diam,neck_height,belly_height,H-Bd,Bd-Rd,Bd-Nd,H-Bh,H-Nh,Bd-BaD
JZ004_P041,P,B,07,10,L,29.80,11.00,11.80,9.59,23.49,26.98,19.59,1.27,2.14,2.45,1.52,1.10,1.99
JZ004_P042,G,B,03,01,N,6.90,8.00,5.00,7.44,9.63,6.27,3.54,0.72,1.20,1.29,1.95,1.10,1.93
JZ004_P043,G,B,03,01,N,8.00,7.00,7.00,6.42,8.54,7.14,3.80,0.94,1.22,1.33,2.11,1.12,1.22
JZ004_P044,G,E,00,00,N,8.30,9.20,8.00,9.20,9.94,8.30,3.36,0.84,1.08,1.08,2.47,1.00,1.24
JZ004_P045,G,B,07,01,N,8.00,8.00,5.00,8.00,8.47,8.00,3.83,0.94,1.06,1.06,2.09,1.00,1.69
JZ004_P046,G,B,03,01,N,8.30,8.80,7.00,8.80,9.78,8.30,3.45,0.85,1.11,1.11,2.41,1.00,1.40
JZ004_P047,G,B,03,01,N,8.00,8.90,6.00,8.90,9.91,8.00,3.40,0.81,1.11,1.11,2.35,1.00,1.65
JZ004_P048,G,B,07,01,N,8.10,8.00,6.60,8.00,9.14,8.10,3.40,0.89,1.14,1.14,2.38,1.00,1.38
JZ004_P051,G,B,07,01,N,7.10,8.90,6.00,7.88,10.38,6.39,2.93,0.68,1.17,1.32,2.42,1.11,1.73
JZ004_P052,G,B,03,01,N,7.20,8.00,4.20,7.12,9.15,6.55,3.81,0.79,1.14,1.29,1.89,1.10,2.18
JZ004_P053,G,B,03,01,N,8.30,9.00,5.70,8.20,9.86,7.70,4.37,0.84,1.10,1.20,1.90,1.08,1.73
JZ004_P054,G,B,17,01,N,8.00,8.00,6.00,6.98,10.17,7.40,3.48,0.79,1.27,1.46,2.30,1.08,1.70
JZ004_P055,P,B,03,01,L,11.90,8.00,7.00,6.56,14.50,10.53,7.24,0.82,1.81,2.21,1.64,1.13,2.07
JZ004_P056,P,B,07,04,N,19.00,11.00,7.50,8.58,21.40,17.46,11.47,0.89,1.95,2.49,1.66,1.09,2.85
JZ004_P057,E,C,00,04,N,9.00,11.00,1.40,11.00,11.69,9.00,6.94,0.77,1.06,1.06,1.30,1.00,8.35
JZ004_P059,E,C,03,00,N,3.80,8.00,NA,8.00,9.19,3.80,0.67,0.41,1.15,1.15,5.67,1.00,NA
JZ004_P064,P,B,09,02,N,6.20,7.50,3.00,7.46,12.55,5.43,3.29,0.49,1.67,1.68,1.88,1.14,4.18
JZ004_P066,E,B,07,04,N,6.70,18.00,2.00,18.00,18.00,6.70,6.70,0.37,1.00,1.00,1.00,1.00,9.00
JZ004_P067,P,B,09,02,N,9.00,9.10,4.00,7.35,13.59,7.95,4.39,0.66,1.49,1.85,2.05,1.13,3.40
JZ004_P068,P,B,09,02,N,6.00,7.10,2.50,4.99,8.63,5.33,2.70,0.70,1.22,1.73,2.22,1.13,3.45
JZ004_P070,E,B,06,04,N,5.60,15.40,3.50,15.40,15.40,5.60,5.60,0.36,1.00,1.00,1.00,1.00,4.40
JZ004_P071,E,B,13,04,N,4.40,6.30,1.30,6.30,6.51,4.40,2.79,0.68,1.03,1.03,1.58,1.00,5.01
JZ004_P072,E,B,01,04,N,5.70,16.00,2.30,16.00,16.00,5.70,5.70,0.36,1.00,1.00,1.00,1.00,6.96
JZ004_P073,G,A,01,01,N,7.20,9.00,2.00,9.00,9.00,7.20,7.20,0.80,1.00,1.00,1.00,1.00,4.50
JZ004_P076,E,B,01,04,N,4.00,6.00,2.00,6.00,6.17,4.00,1.01,0.65,1.03,1.03,3.96,1.00,3.09
JZ004_P077,E,B,01,04,N,4.50,6.00,2.00,6.00,6.33,4.50,1.05,0.71,1.06,1.06,4.29,1.00,3.17
JZ004_P078,G,B,03,09,N,8.50,9.00,5.00,9.00,9.29,8.50,5.38,0.91,1.03,1.03,1.58,1.00,1.86
JZ004_P079,G,B,03,09,N,8.50,10.00,6.00,10.00,9.84,8.50,5.81,0.86,0.98,0.98,1.46,1.00,1.64
JZ004_P080,G,B,03,09,N,8.50,9.00,6.00,9.00,9.46,8.50,6.62,0.90,1.05,1.05,1.28,1.00,1.58
JZ004_P081,G,B,03,09,N,8.50,9.00,5.00,9.00,8.85,8.50,5.58,0.96,0.98,0.98,1.52,1.00,1.77
JZ004_P082,G,B,03,09,N,8.70,9.00,5.00,9.00,8.85,8.70,5.54,0.98,0.98,0.98,1.57,1.00,1.77
JZ004_P083,K,B,02,02,N,10.20,7.00,0.00,5.01,8.14,8.66,4.09,1.25,1.16,1.62,2.49,1.18,8.14
JZ004_P084,K,B,03,02,S,7.00,7.00,0.00,6.15,7.68,5.94,3.69,0.91,1.10,1.25,1.90,1.18,7.68
JZ004_P085,K,B,03,02,N,11.00,12.00,0.00,10.84,14.11,9.84,5.68,0.78,1.18,1.30,1.94,1.12,14.11
JZ004_P086,P,B,03,02,N,8.50,7.00,0.00,7.37,10.82,7.58,4.37,0.79,1.55,1.47,1.95,1.12,10.82
JZ004_P087,P,B,03,02,N,10.00,12.00,0.00,9.78,13.12,9.04,5.56,0.76,1.09,1.34,1.80,1.11,13.12
JZ004_P088,R,B,03,02,N,8.70,4.00,0.00,2.15,7.58,6.82,3.00,1.15,1.90,3.53,2.90,1.28,7.58
JZ004_P089,P,B,03,04,N,6.50,7.00,4.00,3.04,7.08,5.26,2.93,0.92,1.01,2.33,2.22,1.24,1.77
JZ004_P091,P,B,02,02,N,24.00,13.00,0.00,11.55,26.05,21.45,12.80,0.92,2.00,2.26,1.88,1.12,26.05
JZ004_P092,H,B,03,04,N,18.30,22.00,11.00,21.06,28.08,16.27,9.84,0.65,1.28,1.33,1.86,1.12,2.55
JZ004_P093,P,B,02,04,N,23.00,23.00,6.00,15.54,24.22,20.68,12.17,0.95,1.05,1.56,1.89,1.11,4.04
JZ004_P094,P,B,01,04,N,19.00,21.00,14.00,16.05,20.40,16.75,11.58,0.93,0.97,1.27,1.64,1.13,1.46
